epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1509,1.32914,3.16486,1.59376,0.97341,0.85882,0.87056,0.70267,0.85455,0.80053,1.3219,0.00330065,0.00330065,0.00330065
2,137.887,1.14044,1.38759,1.41183,0.47209,0.83141,0.81965,0.61361,1.06384,1.63281,1.39131,0.00656831,0.00656831,0.00656831
3,201.964,1.2494,1.4186,1.45398,0.64868,0.62071,0.60738,0.41799,1.20857,4.10576,1.7264,0.00976997,0.00976997,0.00976997
4,265.953,1.32686,1.37428,1.51072,0.67292,0.64072,0.79602,0.54578,1.26646,4.49825,1.68811,0.009703,0.009703,0.009703
5,329.76,1.28444,1.27324,1.48296,0.69116,0.47527,0.48908,0.32352,1.46558,3.01609,1.70583,0.009604,0.009604,0.009604
6,393.644,1.2767,1.17776,1.47706,0.76868,0.725,0.89536,0.58323,1.22969,2.46391,1.61356,0.009505,0.009505,0.009505
7,457.572,1.26364,1.14064,1.48113,0.69924,0.63069,0.64037,0.45908,1.36598,2.41902,1.76515,0.009406,0.009406,0.009406
8,521.414,1.17596,1.03383,1.4328,0.83014,0.76372,0.78376,0.5995,0.86126,1.37637,1.22913,0.009307,0.009307,0.009307
9,585.3,1.20718,1.0156,1.43236,0.85533,0.98409,0.99192,0.74862,0.90147,0.8389,1.2643,0.009208,0.009208,0.009208
10,649.32,1.12656,0.92405,1.38237,0.98405,0.875,0.96936,0.77626,0.81302,0.76413,1.22923,0.009109,0.009109,0.009109
11,713.224,1.09445,0.8825,1.34556,0.86867,0.98709,0.94572,0.73487,0.78364,0.65103,1.22214,0.00901,0.00901,0.00901
12,777.104,1.06243,0.8333,1.31937,0.95302,0.95238,0.98302,0.75593,0.85176,0.60153,1.20186,0.008911,0.008911,0.008911
13,840.953,1.02984,0.79151,1.30327,0.97385,0.99966,0.99381,0.7969,0.79066,0.51967,1.21263,0.008812,0.008812,0.008812
14,904.949,1.01525,0.76357,1.3067,0.91858,0.98202,0.98649,0.77907,0.79806,0.55158,1.1818,0.008713,0.008713,0.008713
15,968.836,1.01144,0.76117,1.29149,0.94723,0.98125,0.97325,0.79027,0.77113,0.50651,1.19032,0.008614,0.008614,0.008614
16,1032.8,0.99336,0.75628,1.28608,0.96639,1,0.995,0.78907,0.79486,0.51005,1.27538,0.008515,0.008515,0.008515
17,1096.68,0.96514,0.73594,1.28714,0.98482,0.99488,0.9944,0.80488,0.74326,0.51224,1.15714,0.008416,0.008416,0.008416
18,1160.6,0.98978,0.71288,1.29186,0.96897,0.99011,0.98979,0.81752,0.73453,0.52101,1.14854,0.008317,0.008317,0.008317
19,1224.55,0.93725,0.67968,1.25221,0.96386,0.975,0.98295,0.79153,0.74656,0.54526,1.16199,0.008218,0.008218,0.008218
20,1288.44,0.9371,0.66552,1.24607,0.9871,1,0.995,0.83128,0.70034,0.41633,1.09032,0.008119,0.008119,0.008119
21,1352.35,0.90637,0.65417,1.22183,0.9877,1,0.995,0.83487,0.67836,0.41668,1.08831,0.00802,0.00802,0.00802
22,1416.33,0.91292,0.61995,1.2389,0.97973,0.97384,0.9947,0.80306,0.72568,0.48445,1.15712,0.007921,0.007921,0.007921
23,1480.14,0.91375,0.63564,1.24546,0.98581,1,0.995,0.82605,0.69266,0.46831,1.14836,0.007822,0.007822,0.007822
24,1543.98,0.90117,0.62179,1.22123,0.98734,1,0.995,0.8282,0.72929,0.42063,1.13647,0.007723,0.007723,0.007723
25,1607.77,0.88201,0.61145,1.21599,0.96554,1,0.99121,0.81594,0.70603,0.41312,1.10506,0.007624,0.007624,0.007624
