epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9442,2.21095,6.82405,2.36902,0.66673,0.045,0.06034,0.04515,2.23412,5.13471,2.53063,0.0670372,4.22054e-06,4.22054e-06
2,121.008,2.17775,5.96376,2.3032,0.55512,0.06761,0.05931,0.04605,2.15994,4.67165,2.44127,0.033708,8.40309e-06,8.40309e-06
3,179.788,2.1143,5.65361,2.24486,0.77488,0.08,0.08941,0.07069,2.02189,4.17016,2.28912,0.000378801,1.25003e-05,1.25003e-05
4,238.324,1.96325,5.1846,2.12546,0.99761,0.09,0.11306,0.0907,1.85335,3.65514,2.12415,1.24182e-05,1.24182e-05,1.24182e-05
5,296.754,1.90542,4.8958,2.08025,0.33232,0.13487,0.14884,0.11439,1.75728,3.34707,2.01469,1.22902e-05,1.22902e-05,1.22902e-05
6,355.254,1.81689,4.65182,2.00061,0.70001,0.15675,0.21966,0.16386,1.64687,3.05432,1.89858,1.21622e-05,1.21622e-05,1.21622e-05
7,413.732,1.77313,4.48226,1.95386,0.4883,0.26603,0.30016,0.22031,1.53567,2.75631,1.8087,1.20342e-05,1.20342e-05,1.20342e-05
8,472.24,1.73883,4.2907,1.91824,0.70557,0.275,0.33161,0.24712,1.44682,2.55449,1.7217,1.19062e-05,1.19062e-05,1.19062e-05
9,530.712,1.68772,4.10232,1.88106,0.67205,0.3546,0.39289,0.29056,1.38959,2.40873,1.67909,1.17781e-05,1.17781e-05,1.17781e-05
10,589.202,1.66695,3.88922,1.86226,0.70866,0.38895,0.4238,0.31902,1.3233,2.27634,1.62695,1.16501e-05,1.16501e-05,1.16501e-05
11,647.69,1.60725,3.8051,1.81232,0.86063,0.35731,0.44853,0.34405,1.24566,2.14238,1.55522,1.15221e-05,1.15221e-05,1.15221e-05
12,706.173,1.5583,3.54838,1.7649,0.83855,0.41282,0.47951,0.36472,1.18986,1.9787,1.51125,1.13941e-05,1.13941e-05,1.13941e-05
13,764.646,1.56736,3.4722,1.76803,0.8918,0.39829,0.50609,0.39272,1.12133,1.87186,1.46705,1.12661e-05,1.12661e-05,1.12661e-05
14,823.151,1.52157,3.42071,1.74296,0.89146,0.4011,0.55434,0.43189,1.0859,1.78175,1.44307,1.1138e-05,1.1138e-05,1.1138e-05
15,881.683,1.49123,3.25445,1.71745,0.85579,0.52717,0.60061,0.47488,1.05587,1.69526,1.41183,1.101e-05,1.101e-05,1.101e-05
16,940.152,1.48138,3.17003,1.70702,0.85857,0.57202,0.65111,0.51135,1.02652,1.60927,1.38853,1.0882e-05,1.0882e-05,1.0882e-05
17,998.6,1.46238,3.0741,1.68658,0.85548,0.62565,0.66708,0.52583,1.01107,1.53526,1.37697,1.0754e-05,1.0754e-05,1.0754e-05
18,1057.13,1.45327,3.05896,1.68245,0.86744,0.63057,0.68621,0.54878,0.99063,1.51172,1.35467,1.0626e-05,1.0626e-05,1.0626e-05
19,1115.58,1.43747,3.00268,1.65551,0.91945,0.63973,0.69945,0.5567,0.9624,1.38216,1.33429,1.04979e-05,1.04979e-05,1.04979e-05
20,1174.05,1.35548,2.76393,1.61494,0.94428,0.6469,0.71155,0.56781,0.9459,1.37901,1.32606,1.03699e-05,1.03699e-05,1.03699e-05
21,1232.5,1.36449,2.78193,1.62525,0.97275,0.65048,0.71717,0.5776,0.93025,1.30548,1.31476,1.02419e-05,1.02419e-05,1.02419e-05
22,1290.99,1.34299,2.68448,1.60074,0.9775,0.65595,0.72574,0.57944,0.93049,1.2605,1.31496,1.01139e-05,1.01139e-05,1.01139e-05
23,1349.42,1.34703,2.68263,1.6028,0.97154,0.66538,0.73848,0.59418,0.90617,1.22712,1.30232,9.98586e-06,9.98586e-06,9.98586e-06
24,1407.9,1.31895,2.58859,1.56389,0.97846,0.67859,0.75301,0.60287,0.88851,1.17688,1.29294,9.85784e-06,9.85784e-06,9.85784e-06
25,1466.31,1.31834,2.53383,1.56236,0.97146,0.682,0.76945,0.61372,0.87501,1.12071,1.28571,9.72982e-06,9.72982e-06,9.72982e-06
